Squad,MP,Min,90s,Ast,Ast_per_90,Tournament_Group
Curaçao,3,270,3.0,0,0.0,Group Stage Eliminated
Czechia,3,270,3.0,2,0.6666666666666666,Group Stage Eliminated
Jordan,3,270,3.0,3,1.0,Group Stage Eliminated
Uruguay,3,270,3.0,1,0.3333333333333333,Group Stage Eliminated
Türkiye,3,270,3.0,3,1.0,Group Stage Eliminated
Scotland,3,270,3.0,0,0.0,Group Stage Eliminated
Panama,3,270,3.0,0,0.0,Group Stage Eliminated
Qatar,3,270,3.0,2,0.6666666666666666,Group Stage Eliminated
Haiti,3,270,3.0,1,0.3333333333333333,Group Stage Eliminated
Uzbekistan,3,270,3.0,1,0.3333333333333333,Group Stage Eliminated
Iraq,3,270,3.0,1,0.3333333333333333,Group Stage Eliminated
New Zealand,3,270,3.0,3,1.0,Group Stage Eliminated
Sweden,4,360,4.0,6,1.5,Knockout Stage
England,8,750,8.3,14,1.686746987951807,Knockout Stage
Paraguay,5,480,5.3,3,0.5660377358490566,Knockout Stage
Germany,4,390,4.3,10,2.3255813953488373,Knockout Stage
Canada,5,450,5.0,3,0.6,Knockout Stage
Colombia,5,480,5.3,5,0.9433962264150944,Knockout Stage
Switzerland,6,600,6.7,6,0.8955223880597015,Knockout Stage
Portugal,5,450,5.0,4,0.8,Knockout Stage
Croatia,4,360,4.0,5,1.25,Knockout Stage
Algeria,4,360,4.0,3,0.75,Knockout Stage
Belgium,6,570,6.3,10,1.5873015873015874,Knockout Stage
France,8,720,8.0,18,2.25,Knockout Stage
Bosnia and Herzegovina,4,360,4.0,3,0.75,Knockout Stage
Ecuador,4,360,4.0,2,0.5,Knockout Stage
Côte d'Ivoire,4,360,4.0,4,1.0,Knockout Stage
Norway,6,570,6.3,10,1.5873015873015874,Knockout Stage
Argentina,8,810,9.0,12,1.3333333333333333,Knockout Stage
Australia,4,390,4.3,1,0.23255813953488372,Knockout Stage
Senegal,4,390,4.3,9,2.0930232558139537,Knockout Stage
Austria,4,360,4.0,4,1.0,Knockout Stage
Morocco,6,570,6.3,9,1.4285714285714286,Knockout Stage
South Africa,4,360,4.0,1,0.25,Knockout Stage
Netherlands,4,390,4.3,10,2.3255813953488373,Knockout Stage
Ghana,4,360,4.0,1,0.25,Knockout Stage
