Squad,90s,Sh,SoT,SoT%,Tournament_Group
Curaçao,3.0,29,7,24.1,Group Stage Eliminated
Czechia,3.0,34,8,23.5,Group Stage Eliminated
Jordan,3.0,24,9,37.5,Group Stage Eliminated
Uruguay,3.0,49,13,26.5,Group Stage Eliminated
Türkiye,3.0,71,16,22.5,Group Stage Eliminated
Scotland,3.0,29,7,24.1,Group Stage Eliminated
Panama,3.0,32,7,21.9,Group Stage Eliminated
Qatar,3.0,18,7,38.9,Group Stage Eliminated
Haiti,3.0,31,7,22.6,Group Stage Eliminated
Uzbekistan,3.0,18,5,27.8,Group Stage Eliminated
Iraq,3.0,21,2,9.5,Group Stage Eliminated
New Zealand,3.0,31,15,48.4,Group Stage Eliminated
Sweden,4.0,48,23,47.9,Knockout Stage
England,8.3,118,53,44.9,Knockout Stage
Paraguay,5.3,35,8,22.9,Knockout Stage
Germany,4.3,74,28,37.8,Knockout Stage
Canada,5.0,80,31,38.8,Knockout Stage
Colombia,5.3,94,30,31.9,Knockout Stage
Switzerland,6.7,74,30,40.5,Knockout Stage
Portugal,5.0,62,17,27.4,Knockout Stage
Croatia,4.0,37,17,45.9,Knockout Stage
Algeria,4.0,44,15,34.1,Knockout Stage
Belgium,6.3,112,34,30.4,Knockout Stage
France,8.0,139,59,42.4,Knockout Stage
Bosnia and Herzegovina,4.0,37,14,37.8,Knockout Stage
Ecuador,4.0,53,20,37.7,Knockout Stage
Côte d'Ivoire,4.0,45,14,31.1,Knockout Stage
Norway,6.3,66,29,43.9,Knockout Stage
Argentina,9.0,114,44,38.6,Knockout Stage
Australia,4.3,42,12,28.6,Knockout Stage
Senegal,4.3,69,23,33.3,Knockout Stage
Austria,4.0,32,8,25.0,Knockout Stage
Morocco,6.3,69,26,37.7,Knockout Stage
South Africa,4.0,39,11,28.2,Knockout Stage
Netherlands,4.3,46,22,47.8,Knockout Stage
Ghana,4.0,24,4,16.7,Knockout Stage
