record_id,official_match_number,date,stage,team_a,team_a_goals,team_b_goals,team_b,venue,note,source_url,goal_difference_team_a
G001,,11/06/2026,Group A,Mexico,2,0,South Africa,Mexico City Stadium,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,2
G002,,11/06/2026,Group A,Korea Republic,2,1,Czechia,Guadalajara Stadium,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,1
G003,,12/06/2026,Group B,Canada,1,1,Bosnia and Herzegovina,Toronto Stadium,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,0
G004,,12/06/2026,Group D,USA,4,1,Paraguay,Los Angeles Stadium,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,3
G005,,13/06/2026,Group C,Haiti,0,1,Scotland,Boston Stadium,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,-1
G006,,13/06/2026,Group D,Australia,2,0,TÃ¼rkiye,BC Place Vancouver,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,2
G007,,13/06/2026,Group C,Brazil,1,1,Morocco,New York New Jersey Stadium,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,0
G008,,13/06/2026,Group B,Qatar,1,1,Switzerland,San Francisco Bay Area Stadium,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,0
G009,,14/06/2026,Group E,CÃ´te d'Ivoire,1,0,Ecuador,Philadelphia Stadium,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,1
G010,,14/06/2026,Group E,Germany,7,1,CuraÃ§ao,Houston Stadium,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,6
G011,,14/06/2026,Group F,Netherlands,2,2,Japan,Dallas Stadium,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,0
G012,,14/06/2026,Group F,Sweden,5,1,Tunisia,Estadio Monterrey,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,4
G013,,15/06/2026,Group H,Saudi Arabia,1,1,Uruguay,Miami Stadium,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,0
G014,,15/06/2026,Group H,Spain,0,0,Cabo Verde,Atlanta Stadium,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,0
G015,,15/06/2026,Group G,IR Iran,2,2,New Zealand,Los Angeles Stadium,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,0
G016,,15/06/2026,Group G,Belgium,1,1,Egypt,Seattle Stadium,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,0
G017,,16/06/2026,Group I,France,3,1,Senegal,New York New Jersey Stadium,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,2
G018,,16/06/2026,Group I,Iraq,1,4,Norway,Boston Stadium,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,-3
G019,,16/06/2026,Group J,Argentina,3,0,Algeria,Kansas City Stadium,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,3
G020,,16/06/2026,Group J,Austria,3,1,Jordan,San Francisco Bay Area Stadium,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,2
G021,,17/06/2026,Group L,Ghana,1,0,Panama,Toronto Stadium,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,1
G022,,17/06/2026,Group L,England,4,2,Croatia,Dallas Stadium,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,2
G023,,17/06/2026,Group K,Portugal,1,1,Congo DR,Houston Stadium,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,0
G024,,17/06/2026,Group K,Uzbekistan,1,3,Colombia,Mexico City Stadium,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,-2
G025,,18/06/2026,Group A,Czechia,1,1,South Africa,Atlanta Stadium,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,0
G026,,18/06/2026,Group B,Switzerland,4,1,Bosnia and Herzegovina,Los Angeles Stadium,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,3
G027,,18/06/2026,Group B,Canada,6,0,Qatar,BC Place Vancouver,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,6
G028,,18/06/2026,Group A,Mexico,1,0,Korea Republic,Guadalajara Stadium,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,1
G029,,19/06/2026,Group C,Brazil,3,0,Haiti,Philadelphia Stadium,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,3
