match_id,official_match_number,date,stage,team,opponent,goals_scored,goals_conceded,goal_difference,venue,source_url
G001,,11/06/2026,Group A,Mexico,South Africa,2,0,2,Mexico City Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums
G001,,11/06/2026,Group A,South Africa,Mexico,0,2,-2,Mexico City Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums
G002,,11/06/2026,Group A,Korea Republic,Czechia,2,1,1,Guadalajara Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums
G002,,11/06/2026,Group A,Czechia,Korea Republic,1,2,-1,Guadalajara Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums
G003,,12/06/2026,Group B,Canada,Bosnia and Herzegovina,1,1,0,Toronto Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums
G003,,12/06/2026,Group B,Bosnia and Herzegovina,Canada,1,1,0,Toronto Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums
G004,,12/06/2026,Group D,USA,Paraguay,4,1,3,Los Angeles Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums
G004,,12/06/2026,Group D,Paraguay,USA,1,4,-3,Los Angeles Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums
G005,,13/06/2026,Group C,Haiti,Scotland,0,1,-1,Boston Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums
G005,,13/06/2026,Group C,Scotland,Haiti,1,0,1,Boston Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums
G006,,13/06/2026,Group D,Australia,TÃ¼rkiye,2,0,2,BC Place Vancouver,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums
G006,,13/06/2026,Group D,TÃ¼rkiye,Australia,0,2,-2,BC Place Vancouver,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums
G007,,13/06/2026,Group C,Brazil,Morocco,1,1,0,New York New Jersey Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums
