record_id,date,stage,team_a,team_b,team_a_prior_avg_goals_for,team_a_prior_avg_goals_against,team_a_prior_points_per_game,team_a_prior_clean_sheet_rate,team_b_prior_avg_goals_for,team_b_prior_avg_goals_against,team_b_prior_points_per_game,team_b_prior_clean_sheet_rate,goal_difference_team_a
G001,2026-06-11,Group A,Mexico,South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
G002,2026-06-11,Group A,Korea Republic,Czechia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
G003,2026-06-12,Group B,Canada,Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
G004,2026-06-12,Group D,USA,Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
G005,2026-06-13,Group C,Haiti,Scotland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
G006,2026-06-13,Group D,Australia,TÃ¼rkiye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
G007,2026-06-13,Group C,Brazil,Morocco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
G008,2026-06-13,Group B,Qatar,Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
G009,2026-06-14,Group E,CÃ´te d'Ivoire,Ecuador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
G010,2026-06-14,Group E,Germany,CuraÃ§ao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
G011,2026-06-14,Group F,Netherlands,Japan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
G012,2026-06-14,Group F,Sweden,Tunisia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
G013,2026-06-15,Group H,Saudi Arabia,Uruguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
G014,2026-06-15,Group H,Spain,Cabo Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
G015,2026-06-15,Group G,IR Iran,New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
G016,2026-06-15,Group G,Belgium,Egypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
G017,2026-06-16,Group I,France,Senegal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
G018,2026-06-16,Group I,Iraq,Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3
G019,2026-06-16,Group J,Argentina,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
G020,2026-06-16,Group J,Austria,Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
G021,2026-06-17,Group L,Ghana,Panama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
G022,2026-06-17,Group L,England,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
G023,2026-06-17,Group K,Portugal,Congo DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
G024,2026-06-17,Group K,Uzbekistan,Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2
G025,2026-06-18,Group A,Czechia,South Africa,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0
G026,2026-06-18,Group B,Switzerland,Bosnia and Herzegovina,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3
G027,2026-06-18,Group B,Canada,Qatar,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,6
G028,2026-06-18,Group A,Mexico,Korea Republic,2.0,0.0,3.0,1.0,2.0,1.0,3.0,0.0,1
G029,2026-06-19,Group C,Brazil,Haiti,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3
G030,2026-06-19,Group C,Scotland,Morocco,1.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,-1
G031,2026-06-19,Group D,TÃ¼rkiye,Paraguay,0.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,-1
G032,2026-06-19,Group D,USA,Australia,4.0,1.0,3.0,0.0,2.0,0.0,3.0,1.0,2
G033,2026-06-20,Group E,Germany,CÃ´te d'Ivoire,7.0,1.0,3.0,0.0,1.0,0.0,3.0,1.0,1
G034,2026-06-20,Group E,Ecuador,CuraÃ§ao,0.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0
G035,2026-06-20,Group F,Netherlands,Sweden,2.0,2.0,1.0,0.0,5.0,1.0,3.0,0.0,4
G036,2026-06-20,Group F,Tunisia,Japan,1.0,5.0,0.0,0.0,2.0,2.0,1.0,0.0,-4
G037,2026-06-21,Group H,Uruguay,Cabo Verde,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0
