match_id,date,stage,team,opponent,team_prior_avg_goals_for,team_prior_avg_goals_against,team_prior_points_per_game,team_prior_clean_sheet_rate,opponent_prior_avg_goals_for,opponent_prior_avg_goals_against,opponent_prior_points_per_game,opponent_prior_clean_sheet_rate,goals_scored
G001,2026-06-11,Group A,Mexico,South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
G001,2026-06-11,Group A,South Africa,Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
G002,2026-06-11,Group A,Korea Republic,Czechia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
G002,2026-06-11,Group A,Czechia,Korea Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
G003,2026-06-12,Group B,Canada,Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
G003,2026-06-12,Group B,Bosnia and Herzegovina,Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
G004,2026-06-12,Group D,USA,Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
G004,2026-06-12,Group D,Paraguay,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
G005,2026-06-13,Group C,Haiti,Scotland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
G005,2026-06-13,Group C,Scotland,Haiti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
G006,2026-06-13,Group D,Australia,TÃ¼rkiye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
G006,2026-06-13,Group D,TÃ¼rkiye,Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
G007,2026-06-13,Group C,Brazil,Morocco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
G007,2026-06-13,Group C,Morocco,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
G008,2026-06-13,Group B,Qatar,Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
G008,2026-06-13,Group B,Switzerland,Qatar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
G009,2026-06-14,Group E,CÃ´te d'Ivoire,Ecuador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
G009,2026-06-14,Group E,Ecuador,CÃ´te d'Ivoire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
G010,2026-06-14,Group E,Germany,CuraÃ§ao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
G010,2026-06-14,Group E,CuraÃ§ao,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
G011,2026-06-14,Group F,Netherlands,Japan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
G011,2026-06-14,Group F,Japan,Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
G012,2026-06-14,Group F,Sweden,Tunisia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
G012,2026-06-14,Group F,Tunisia,Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
G013,2026-06-15,Group H,Saudi Arabia,Uruguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
G013,2026-06-15,Group H,Uruguay,Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
G014,2026-06-15,Group H,Spain,Cabo Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
G014,2026-06-15,Group H,Cabo Verde,Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
G015,2026-06-15,Group G,IR Iran,New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
G015,2026-06-15,Group G,New Zealand,IR Iran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
G016,2026-06-15,Group G,Belgium,Egypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
G016,2026-06-15,Group G,Egypt,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
G017,2026-06-16,Group I,France,Senegal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
G017,2026-06-16,Group I,Senegal,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
G018,2026-06-16,Group I,Iraq,Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
G018,2026-06-16,Group I,Norway,Iraq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
G019,2026-06-16,Group J,Argentina,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
G019,2026-06-16,Group J,Algeria,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
G020,2026-06-16,Group J,Austria,Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
G020,2026-06-16,Group J,Jordan,Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
G021,2026-06-17,Group L,Ghana,Panama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
G021,2026-06-17,Group L,Panama,Ghana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
G022,2026-06-17,Group L,England,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
G022,2026-06-17,Group L,Croatia,England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
G023,2026-06-17,Group K,Portugal,Congo DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
G023,2026-06-17,Group K,Congo DR,Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
G024,2026-06-17,Group K,Uzbekistan,Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
G024,2026-06-17,Group K,Colombia,Uzbekistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
G025,2026-06-18,Group A,Czechia,South Africa,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1
G025,2026-06-18,Group A,South Africa,Czechia,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1
G026,2026-06-18,Group B,Switzerland,Bosnia and Herzegovina,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,4
G026,2026-06-18,Group B,Bosnia and Herzegovina,Switzerland,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
G027,2026-06-18,Group B,Canada,Qatar,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,6
G027,2026-06-18,Group B,Qatar,Canada,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
G028,2026-06-18,Group A,Mexico,Korea Republic,2.0,0.0,3.0,1.0,2.0,1.0,3.0,0.0,1
G028,2026-06-18,Group A,Korea Republic,Mexico,2.0,1.0,3.0,0.0,2.0,0.0,3.0,1.0,0
G029,2026-06-19,Group C,Brazil,Haiti,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3
G029,2026-06-19,Group C,Haiti,Brazil,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0
G030,2026-06-19,Group C,Scotland,Morocco,1.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0
G030,2026-06-19,Group C,Morocco,Scotland,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1
G031,2026-06-19,Group D,TÃ¼rkiye,Paraguay,0.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0
G031,2026-06-19,Group D,Paraguay,TÃ¼rkiye,1.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1
G032,2026-06-19,Group D,USA,Australia,4.0,1.0,3.0,0.0,2.0,0.0,3.0,1.0,2
G032,2026-06-19,Group D,Australia,USA,2.0,0.0,3.0,1.0,4.0,1.0,3.0,0.0,0
G033,2026-06-20,Group E,Germany,CÃ´te d'Ivoire,7.0,1.0,3.0,0.0,1.0,0.0,3.0,1.0,2
G033,2026-06-20,Group E,CÃ´te d'Ivoire,Germany,1.0,0.0,3.0,1.0,7.0,1.0,3.0,0.0,1
G034,2026-06-20,Group E,Ecuador,CuraÃ§ao,0.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0
G034,2026-06-20,Group E,CuraÃ§ao,Ecuador,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0
G035,2026-06-20,Group F,Netherlands,Sweden,2.0,2.0,1.0,0.0,5.0,1.0,3.0,0.0,5
G035,2026-06-20,Group F,Sweden,Netherlands,5.0,1.0,3.0,0.0,2.0,2.0,1.0,0.0,1
G036,2026-06-20,Group F,Tunisia,Japan,1.0,5.0,0.0,0.0,2.0,2.0,1.0,0.0,0
G036,2026-06-20,Group F,Japan,Tunisia,2.0,2.0,1.0,0.0,1.0,5.0,0.0,0.0,4
G037,2026-06-21,Group H,Uruguay,Cabo Verde,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2
G037,2026-06-21,Group H,Cabo Verde,Uruguay,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2
G038,2026-06-21,Group H,Spain,Saudi Arabia,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4
G038,2026-06-21,Group H,Saudi Arabia,Spain,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0
G039,2026-06-21,Group G,Belgium,IR Iran,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0
G039,2026-06-21,Group G,IR Iran,Belgium,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0
G040,2026-06-21,Group G,New Zealand,Egypt,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1
G040,2026-06-21,Group G,Egypt,New Zealand,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,3
G041,2026-06-22,Group I,Norway,Senegal,4.0,1.0,3.0,0.0,1.0,3.0,0.0,0.0,3
G041,2026-06-22,Group I,Senegal,Norway,1.0,3.0,0.0,0.0,4.0,1.0,3.0,0.0,2
G042,2026-06-22,Group I,France,Iraq,3.0,1.0,3.0,0.0,1.0,4.0,0.0,0.0,3
G042,2026-06-22,Group I,Iraq,France,1.0,4.0,0.0,0.0,3.0,1.0,3.0,0.0,0
G043,2026-06-22,Group J,Argentina,Austria,3.0,0.0,3.0,1.0,3.0,1.0,3.0,0.0,2
G043,2026-06-22,Group J,Austria,Argentina,3.0,1.0,3.0,0.0,3.0,0.0,3.0,1.0,0
G044,2026-06-22,Group J,Jordan,Algeria,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1
G044,2026-06-22,Group J,Algeria,Jordan,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,2
G045,2026-06-23,Group L,England,Ghana,4.0,2.0,3.0,0.0,1.0,0.0,3.0,1.0,0
G045,2026-06-23,Group L,Ghana,England,1.0,0.0,3.0,1.0,4.0,2.0,3.0,0.0,0
G046,2026-06-23,Group L,Panama,Croatia,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0
G046,2026-06-23,Group L,Croatia,Panama,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1
G047,2026-06-23,Group K,Portugal,Uzbekistan,1.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,5
G047,2026-06-23,Group K,Uzbekistan,Portugal,1.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0
G048,2026-06-23,Group K,Colombia,Congo DR,3.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,1
G048,2026-06-23,Group K,Congo DR,Colombia,1.0,1.0,1.0,0.0,3.0,1.0,3.0,0.0,0
G049,2026-06-24,Group C,Scotland,Brazil,0.5,0.5,1.5,0.5,2.0,0.5,2.0,0.5,0
G049,2026-06-24,Group C,Brazil,Scotland,2.0,0.5,2.0,0.5,0.5,0.5,1.5,0.5,3
G050,2026-06-24,Group C,Morocco,Haiti,1.0,0.5,2.0,0.5,0.0,2.0,0.0,0.0,4
G050,2026-06-24,Group C,Haiti,Morocco,0.0,2.0,0.0,0.0,1.0,0.5,2.0,0.5,2
G051,2026-06-24,Group B,Switzerland,Canada,2.5,1.0,2.0,0.0,3.5,0.5,2.0,0.5,2
G051,2026-06-24,Group B,Canada,Switzerland,3.5,0.5,2.0,0.5,2.5,1.0,2.0,0.0,1
G052,2026-06-24,Group B,Bosnia and Herzegovina,Qatar,1.0,2.5,0.5,0.0,0.5,3.5,0.5,0.0,3
G052,2026-06-24,Group B,Qatar,Bosnia and Herzegovina,0.5,3.5,0.5,0.0,1.0,2.5,0.5,0.0,1
G053,2026-06-24,Group A,Czechia,Mexico,1.0,1.5,0.5,0.0,1.5,0.0,3.0,1.0,0
G053,2026-06-24,Group A,Mexico,Czechia,1.5,0.0,3.0,1.0,1.0,1.5,0.5,0.0,3
G054,2026-06-24,Group A,South Africa,Korea Republic,0.5,1.5,0.5,0.0,1.0,1.0,1.5,0.0,1
G054,2026-06-24,Group A,Korea Republic,South Africa,1.0,1.0,1.5,0.0,0.5,1.5,0.5,0.0,0
G055,2026-06-25,Group E,CuraÃ§ao,CÃ´te d'Ivoire,0.5,3.5,0.5,0.5,1.0,1.0,1.5,0.5,0
G055,2026-06-25,Group E,CÃ´te d'Ivoire,CuraÃ§ao,1.0,1.0,1.5,0.5,0.5,3.5,0.5,0.5,2
G056,2026-06-25,Group E,Ecuador,Germany,0.0,0.5,0.5,0.5,4.5,1.0,3.0,0.0,2
G056,2026-06-25,Group E,Germany,Ecuador,4.5,1.0,3.0,0.0,0.0,0.5,0.5,0.5,1
G057,2026-06-25,Group F,Japan,Sweden,3.0,1.0,2.0,0.5,3.0,3.0,1.5,0.0,1
G057,2026-06-25,Group F,Sweden,Japan,3.0,3.0,1.5,0.0,3.0,1.0,2.0,0.5,1
G058,2026-06-25,Group F,Tunisia,Netherlands,0.5,4.5,0.0,0.0,3.5,1.5,2.0,0.0,1
G058,2026-06-25,Group F,Netherlands,Tunisia,3.5,1.5,2.0,0.0,0.5,4.5,0.0,0.0,3
G059,2026-06-25,Group D,TÃ¼rkiye,USA,0.0,1.5,0.0,0.0,3.0,0.5,3.0,0.5,3
G059,2026-06-25,Group D,USA,TÃ¼rkiye,3.0,0.5,3.0,0.5,0.0,1.5,0.0,0.0,2
G060,2026-06-25,Group D,Paraguay,Australia,1.0,2.0,1.5,0.5,1.0,1.0,1.5,0.5,0
G060,2026-06-25,Group D,Australia,Paraguay,1.0,1.0,1.5,0.5,1.0,2.0,1.5,0.5,0
G061,2026-06-26,Group I,Norway,France,3.5,1.5,3.0,0.0,3.0,0.5,3.0,0.5,1
G061,2026-06-26,Group I,France,Norway,3.0,0.5,3.0,0.5,3.5,1.5,3.0,0.0,4
G062,2026-06-26,Group I,Senegal,Iraq,1.5,3.0,0.0,0.0,0.5,3.5,0.0,0.0,5
G062,2026-06-26,Group I,Iraq,Senegal,0.5,3.5,0.0,0.0,1.5,3.0,0.0,0.0,0
G063,2026-06-26,Group G,Egypt,IR Iran,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.5,1
G063,2026-06-26,Group G,IR Iran,Egypt,1.0,1.0,1.0,0.5,2.0,1.0,2.0,0.0,1
G064,2026-06-26,Group G,New Zealand,Belgium,1.5,2.5,0.5,0.0,0.5,0.5,1.0,0.5,1
G064,2026-06-26,Group G,Belgium,New Zealand,0.5,0.5,1.0,0.5,1.5,2.5,0.5,0.0,5
G065,2026-06-26,Group H,Cabo Verde,Saudi Arabia,1.0,1.0,1.0,0.5,0.5,2.5,0.5,0.0,0
G065,2026-06-26,Group H,Saudi Arabia,Cabo Verde,0.5,2.5,0.5,0.0,1.0,1.0,1.0,0.5,0
