Squad,90s,GA,SoTA,Saves,Save%,Tournament_Group
Curaçao,3.0,9,29,20,69.0,Group Stage Eliminated
Czechia,3.0,6,15,9,60.0,Group Stage Eliminated
Jordan,3.0,8,16,8,50.0,Group Stage Eliminated
Uruguay,3.0,4,8,4,50.0,Group Stage Eliminated
Türkiye,3.0,5,13,8,61.5,Group Stage Eliminated
Scotland,3.0,4,12,8,66.7,Group Stage Eliminated
Panama,3.0,4,11,7,63.6,Group Stage Eliminated
Qatar,3.0,10,22,12,54.5,Group Stage Eliminated
Haiti,3.0,8,19,11,57.9,Group Stage Eliminated
Uzbekistan,3.0,11,17,6,35.3,Group Stage Eliminated
Iraq,3.0,12,23,11,47.8,Group Stage Eliminated
New Zealand,3.0,10,21,11,52.4,Group Stage Eliminated
Sweden,4.0,10,24,14,58.3,Knockout Stage
England,8.3,12,32,20,62.5,Knockout Stage
Paraguay,5.3,6,29,23,79.3,Knockout Stage
Germany,4.3,5,10,5,50.0,Knockout Stage
Canada,5.0,6,12,6,50.0,Knockout Stage
Colombia,5.3,1,7,6,85.7,Knockout Stage
Switzerland,6.7,6,26,20,76.9,Knockout Stage
Portugal,5.0,3,22,19,86.4,Knockout Stage
Croatia,4.0,7,17,10,58.8,Knockout Stage
Algeria,4.0,9,17,8,47.1,Knockout Stage
Belgium,6.3,7,23,16,69.6,Knockout Stage
France,8.0,10,22,12,54.5,Knockout Stage
Bosnia and Herzegovina,4.0,8,14,6,42.9,Knockout Stage
Ecuador,4.0,4,13,9,69.2,Knockout Stage
Côte d'Ivoire,4.0,4,13,9,69.2,Knockout Stage
Norway,6.3,11,31,20,64.5,Knockout Stage
Argentina,9.0,8,28,20,71.4,Knockout Stage
Australia,4.3,3,17,14,82.4,Knockout Stage
Senegal,4.3,9,21,12,57.1,Knockout Stage
Austria,4.0,9,22,13,59.1,Knockout Stage
Morocco,6.3,6,20,14,70.0,Knockout Stage
South Africa,4.0,4,15,11,73.3,Knockout Stage
Netherlands,4.3,5,21,16,76.2,Knockout Stage
Ghana,4.0,3,19,16,84.2,Knockout Stage
