Squad,90s,Fls,Fouls_per_90,Tournament_Group
Curaçao,3.0,32,10.666666666666666,Group Stage Eliminated
Czechia,3.0,37,12.333333333333334,Group Stage Eliminated
Jordan,3.0,31,10.333333333333334,Group Stage Eliminated
Uruguay,3.0,31,10.333333333333334,Group Stage Eliminated
Türkiye,3.0,31,10.333333333333334,Group Stage Eliminated
Scotland,3.0,42,14.0,Group Stage Eliminated
Panama,3.0,46,15.333333333333334,Group Stage Eliminated
Qatar,3.0,36,12.0,Group Stage Eliminated
Haiti,3.0,55,18.333333333333332,Group Stage Eliminated
Uzbekistan,3.0,45,15.0,Group Stage Eliminated
Iraq,3.0,27,9.0,Group Stage Eliminated
New Zealand,3.0,32,10.666666666666666,Group Stage Eliminated
Sweden,4.0,43,10.75,Knockout Stage
England,8.3,81,9.759036144578312,Knockout Stage
Paraguay,5.3,66,12.452830188679245,Knockout Stage
Germany,4.3,51,11.86046511627907,Knockout Stage
Canada,5.0,72,14.4,Knockout Stage
Colombia,5.3,70,13.20754716981132,Knockout Stage
Switzerland,6.7,87,12.985074626865671,Knockout Stage
Portugal,5.0,44,8.8,Knockout Stage
Croatia,4.0,45,11.25,Knockout Stage
Algeria,4.0,29,7.25,Knockout Stage
Belgium,6.3,78,12.380952380952381,Knockout Stage
France,8.0,84,10.5,Knockout Stage
Bosnia and Herzegovina,4.0,60,15.0,Knockout Stage
Ecuador,4.0,49,12.25,Knockout Stage
Côte d'Ivoire,4.0,29,7.25,Knockout Stage
Norway,6.3,58,9.206349206349207,Knockout Stage
Argentina,9.0,113,12.555555555555555,Knockout Stage
Australia,4.3,46,10.697674418604652,Knockout Stage
Senegal,4.3,36,8.372093023255815,Knockout Stage
Austria,4.0,47,11.75,Knockout Stage
Morocco,6.3,74,11.746031746031747,Knockout Stage
South Africa,4.0,38,9.5,Knockout Stage
Netherlands,4.3,44,10.232558139534884,Knockout Stage
Ghana,4.0,56,14.0,Knockout Stage
